graduation_rate,state_id,year
21.3,28,2017
28.2,29,2017
30.7,30,2017
30.6,31,2017
23.7,32,2017
36.0,33,2017
38.1,34,2017
26.9,35,2017
35.3,36,2017
29.9,37,2017
28.9,38,2017
27.2,39,2017
24.8,40,2017
32.3,41,2017
30.1,42,2017
33.0,44,2017
27.0,45,2017
27.8,46,2017
26.1,47,2017
28.7,48,2017
36.8,50,2017
32.5,49,2017
37.6,51,2017
34.5,53,2017
19.9,54,2017
29.0,55,2017
26.7,56,2017
,72,2017
24.5,01,2017
29.0,02,2017
28.4,04,2017
22.0,05,2017
32.6,06,2017
39.4,08,2017
31.0,10,2017
56.6,11,2017
38.4,09,2017
28.5,12,2017
29.9,13,2017
26.8,16,2017
32.0,15,2017
33.4,17,2017
25.3,18,2017
27.7,19,2017
32.3,20,2017
23.2,21,2017
23.4,22,2017
30.3,23,2017
39.0,24,2017
42.1,25,2017
28.1,26,2017
34.8,27,2017
21.8,28,2018
28.6,29,2018
31.2,30,2018
31.3,31,2018
24.2,32,2018
36.5,33,2018
38.9,34,2018
27.1,35,2018
35.9,36,2018
30.5,37,2018
29.5,38,2018
27.8,39,2018
25.2,40,2018
32.9,41,2018
30.8,42,2018
33.3,44,2018
27.4,45,2018
28.5,46,2018
26.6,47,2018
29.3,48,2018
37.3,50,2018
33.3,49,2018
38.2,51,2018
35.3,53,2018
20.3,54,2018
29.5,55,2018
26.9,56,2018
,72,2018
24.9,01,2018
29.2,02,2018
28.9,04,2018
22.6,05,2018
33.3,06,2018
40.1,08,2018
31.4,10,2018
57.6,11,2018
38.9,09,2018
29.2,12,2018
30.7,13,2018
26.9,16,2018
32.5,15,2018
34.1,17,2018
25.9,18,2018
28.2,19,2018
32.9,20,2018
23.6,21,2018
23.7,22,2018
30.9,23,2018
39.6,24,2018
42.9,25,2018
28.6,26,2018
35.4,27,2018
